tensor([0.0030], dtype=torch.float64)
tensor([0.0030], dtype=torch.float64)
tensor([0.0030], dtype=torch.float64)
tensor([0.0029], dtype=torch.float64)
tensor([0.0029], dtype=torch.float64)
tensor([0.0029], dtype=torch.float64)
tensor([0.0029], dtype=torch.float64)
tensor([0.0029], dtype=torch.float64)
tensor([0.0029], dtype=torch.float64)
tensor([0.0029], dtype=torch.float64)
tensor([0.0029], dtype=torch.float64)
tensor([0.0029], dtype=torch.float64)
tensor([0.0028], dtype=torch.float64)
tensor([0.0028], dtype=torch.float64)
tensor([0.0028], dtype=torch.float64)
tensor([0.0028], dtype=torch.float64)
tensor([0.0028], dtype=torch.float64)
tensor([0.0028], dtype=torch.float64)
tensor([0.0028], dtype=torch.float64)
tensor([0.0028], dtype=torch.float64)
tensor([0.0028], dtype=torch.float64)
tensor([0.0028], dtype=torch.float64)
tensor([0.0028], dtype=torch.float64)
tensor([0.0028], dtype=torch.float64)
tensor([0.0028], dtype=torch.float64)
tensor([0.0027], dtype=torch.float64)
tensor([0.0027], dtype=torch.float64)
tensor([0.0027], dtype=torch.float64)
tensor([0.0027], dtype=torch.float64)
tensor([0.0027], dtype=torch.float64)
tensor([0.0027], dtype=torch.float64)
tensor([0.0027], dtype=torch.float64)
tensor([0.0027], dtype=torch.float64)
tensor([0.0027], dtype=torch.float64)
tensor([0.0027], dtype=torch.float64)
tensor([0.0027], dtype=torch.float64)
tensor([0.0027], dtype=torch.float64)
tensor([0.0027], dtype=torch.float64)
tensor([0.0027], dtype=torch.float64)
tensor([0.0027], dtype=torch.float64)
tensor([0.0027], dtype=torch.float64)
tensor([0.0027], dtype=torch.float64)
tensor([0.0027], dtype=torch.float64)
tensor([0.0027], dtype=torch.float64)
tensor([0.0027], dtype=torch.float64)
tensor([0.0027], dtype=torch.float64)
tensor([0.0027], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
tensor([0.0026], dtype=torch.float64)
