lambda,coeff_feature_1,coeff_feature_2,coeff_feature_3,coeff_feature_4,coeff_feature_5,coeff_feature_6,coeff_feature_7,coeff_feature_8,coeff_feature_9,coeff_feature_10
0.96,19.261337142185898,-11.576952748290177,-3.8756116427700147,4.026673270546558,-8.692166074549457,-10.632129733867524,-0.9767485951524266,-6.939995433555712,-22.316084295110045,-1.6706478351879182
1.0,19.26038192778433,-11.57636697586527,-3.875435241570936,4.0265589373052,-8.691727849747114,-10.631539550571041,-0.9767345168109622,-6.939557269245917,-22.314924450066254,-1.6704875368825123
1.04,19.25942680788447,-11.575781263049679,-3.875258856181826,4.026444607680749,-8.691289670291171,-10.630949432675338,-0.9767204358278174,-6.939119158117974,-22.313764727161885,-1.67032726148226
1.08,19.258471782472323,-11.575195609834255,-3.8750824866006104,4.026330281673724,-8.690851536174439,-10.630359380169558,-0.9767063522041037,-6.938681100162424,-22.312605126377413,-1.6701670089827922
1.12,19.257516851533932,-11.574610016209862,-3.8749061328252288,4.026215959284657,-8.690413447389721,-10.629769393042842,-0.9766922659409283,-6.938243095369813,-22.31144564769335,-1.670006779379742
1.16,19.256562015055316,-11.574024482167356,-3.8747297948536144,4.026101640514072,-8.689975403929836,-10.62917947128434,-0.9766781770393997,-6.9378051437306825,-22.310286291090176,-1.6698465726687415
1.2,19.25560727302251,-11.57343900769759,-3.8745534726836954,4.025987325362493,-8.689537405787581,-10.628589614883188,-0.9766640855006286,-6.937367245235577,-22.309127056548395,-1.669686388845427
1.24,19.25465262542155,-11.572853592791441,-3.8743771663134137,4.025873013830445,-8.689099452955787,-10.627999823828539,-0.9766499913257214,-6.936929399875054,-22.307967944048514,-1.6695262279054326
1.28,19.25369807223848,-11.572268237439763,-3.8742008757407005,4.025758705918455,-8.68866154542725,-10.627410098109543,-0.9766358945157882,-6.936491607639654,-22.306808953571043,-1.6693660898443956
1.32,19.25274361345933,-11.571682941633425,-3.874024600963491,4.025644401627046,-8.688223683194794,-10.626820437715354,-0.9766217950719345,-6.936053868519934,-22.305650085096485,-1.6692059746579528
1.36,19.251789249070143,-11.571097705363293,-3.873848341979719,4.025530100956741,-8.687785866251238,-10.626230842635124,-0.9766076929952678,-6.935616182506454,-22.30449133860537,-1.6690458823417438
1.4,19.250834979056982,-11.570512528620238,-3.8736720987873254,4.025415803908063,-8.687348094589396,-10.625641312858018,-0.9765935882868959,-6.935178549589768,-22.30333271407821,-1.668885812891408
1.44,19.249880803405887,-11.569927411395133,-3.873495871384244,4.025301510481537,-8.686910368202089,-10.625051848373188,-0.9765794809479236,-6.934740969760433,-22.30217421149554,-1.6687257663025852
1.48,19.248926722102897,-11.56934235367885,-3.8733196597684096,4.0251872206776875,-8.686472687082139,-10.624462449169805,-0.9765653709794566,-6.934303443009017,-22.301015830837887,-1.6685657425709182
1.52,19.247972735134077,-11.568757355462266,-3.873143463937761,4.025072934497037,-8.686035051222369,-10.623873115237032,-0.9765512583826013,-6.933865969326078,-22.299857572085777,-1.6684057416920495
1.56,19.24701884248549,-11.568172416736262,-3.872967283890235,4.024958651940104,-8.685597460615607,-10.623283846564032,-0.9765371431584637,-6.933428548702192,-22.298699435219756,-1.668245763661623
1.6,19.24606504414319,-11.567587537491706,-3.8727911196237685,4.0248443730074115,-8.68515991525468,-10.62269464313998,-0.9765230253081469,-6.932991181127915,-22.29754142022037,-1.6680858084752828
1.64,19.24511134009324,-11.567002717719491,-3.8726149711363007,4.0247300976994875,-8.684722415132413,-10.622105504954044,-0.9765089048327558,-6.932553866593829,-22.29638352706815,-1.667925876128676
1.68,19.244157730321692,-11.566417957410497,-3.87243883842577,4.0246158260168485,-8.68428496024163,-10.621516431995403,-0.9764947817333953,-6.932116605090501,-22.29522575574365,-1.667765966617449
1.72,19.243204214814632,-11.565833256555607,-3.872262721490113,4.024501557960016,-8.683847550575164,-10.620927424253233,-0.976480656011167,-6.931679396608508,-22.29406810622744,-1.6676060799372494
1.76,19.242250793558128,-11.565248615145705,-3.8720866203272712,4.024387293529511,-8.683410186125862,-10.620338481716713,-0.9764665276671749,-6.931242241138428,-22.292910578500067,-1.6674462160837265
1.8,19.241297466538256,-11.564664033171685,-3.8719105349351812,4.024273032725856,-8.682972866886537,-10.619749604375023,-0.9764523967025234,-6.9308051386708405,-22.2917531725421,-1.6672863750525315
1.84,19.240344233741077,-11.564079510624431,-3.871734465311786,4.024158775549571,-8.682535592850035,-10.619160792217349,-0.9764382631183122,-6.930368089196326,-22.290595888334096,-1.6671265568393132
1.88,19.239391095152683,-11.563495047494849,-3.8715584114550223,4.024044522001173,-8.682098364009201,-10.618572045232883,-0.9764241269156451,-6.929931092705473,-22.289438725856645,-1.6669667614397263
1.92,19.238438050759147,-11.562910643773817,-3.8713823733628345,4.023930272081185,-8.681661180356864,-10.617983363410804,-0.9764099880956241,-6.929494149188862,-22.2882816850903,-1.6668069888494217
1.96,19.237485100546568,-11.562326299452238,-3.8712063510331562,4.0238160257901265,-8.68122404188586,-10.617394746740311,-0.9763958466593492,-6.929057258637085,-22.28712476601566,-1.666647239064055
